# Table of General Standard Chinese Characters mapped to Unicode
index number	codepoint
1569	U+4FD8
1570	U+4FE1
1571	U+7687
1572	U+6CC9
1573	U+9B3C
1574	U+4FB5
1575	U+79B9
1576	U+4FAF
1577	U+8FFD
1578	U+4FCA
1579	U+76FE
1580	U+5F85
1581	U+5F8A
1582	U+884D
1583	U+5F8B
1584	U+5F88
1585	U+987B
1586	U+53D9
1587	U+5251
1588	U+9003
1589	U+98DF
1590	U+76C6
1591	U+80DA
1592	U+80E7
1593	U+80C6
1594	U+80DC
1595	U+80DE
1596	U+80D6
1597	U+8109
1598	U+80CE
1599	U+52C9
1600	U+72ED
1601	U+72EE
1602	U+72EC
1603	U+72F0
1604	U+72E1
1605	U+72F1
1606	U+72E0
1607	U+8D38
1608	U+6028
1609	U+6025
1610	U+9975
1611	U+9976
1612	U+8680
1613	U+997A
1614	U+997C
1615	U+5CE6
1616	U+5F2F
1617	U+5C06
1618	U+5956
1619	U+54C0
1620	U+4EAD
1621	U+4EAE
1622	U+5EA6
1623	U+8FF9
1624	U+5EAD
1625	U+75AE
1626	U+75AF
1627	U+75AB
1628	U+75A4
1629	U+54A8
1630	U+59FF
1631	U+4EB2
1632	U+97F3
1633	U+5E1D
1634	U+65BD
1635	U+95FA
1636	U+95FB
1637	U+95FD
1638	U+9600
1639	U+9601
1640	U+5DEE
1641	U+517B
1642	U+7F8E
1643	U+59DC
1644	U+53DB
1645	U+9001
1646	U+7C7B
1647	U+8FF7
1648	U+7C7D
1649	U+5A04
1650	U+524D
1651	U+9996
1652	U+9006
1653	U+5179
1654	U+603B
1655	U+70BC
1656	U+70B8
1657	U+70C1
1658	U+70AE
1659	U+70AB
1660	U+70C2
1661	U+5243
1662	U+6D3C
1663	U+6D01
1664	U+6D2A
1665	U+6D12
1666	U+67D2
1667	U+6D47
1668	U+6D4A
1669	U+6D1E
1670	U+6D4B
1671	U+6D17
1672	U+6D3B
